Words indicating Real,Weights,Words indicating Fake,Weights
said,0.62,via,-0.56
minister,0.31,like,-0.35
representative,0.20,even,-0.32
leader,0.16,know,-0.28
parliament,0.15,watch,-0.27
spokesman,0.15,get,-0.24
senate,0.14,time,-0.22
told,0.14,thing,-0.21
trade,0.14,go,-0.21
lawmaker,0.13,story,-0.21
ministry,0.13,fact,-0.20
percent,0.13,really,-0.20
capital,0.13,one,-0.20
including,0.13,show,-0.20
comment,0.12,make,-0.18
agency,0.12,come,-0.17
prime,0.12,got,-0.17
region,0.12,actually,-0.17
opposition,0.12,life,-0.16
coalition,0.11,went,-0.16
measure,0.11,way,-0.16
election,0.11,claim,-0.16
rule,0.11,every,-0.16
north,0.11,read,-0.16
market,0.11,press,-0.15
last,0.10,today,-0.15
court,0.10,daily,-0.15
statement,0.10,fbi,-0.14
ruling,0.10,anyone,-0.14
healthcare,0.10,think,-0.14
talk,0.10,racist,-0.14
expected,0.10,never,-0.14
militant,0.10,county,-0.14
reform,0.09,left,-0.14
ahead,0.09,believe,-0.14
bank,0.09,something,-0.14
week,0.09,let,-0.13
union,0.09,back,-0.13
year,0.09,report,-0.13
whether,0.09,going,-0.13
legislation,0.09,host,-0.13
foreign,0.09,word,-0.13
financial,0.08,tell,-0.13
committee,0.08,matter,-0.12
economic,0.08,nothing,-0.12
chief,0.08,another,-0.12
poll,0.08,much,-0.12
tax,0.08,hate,-0.12
since,0.08,well,-0.12
killed,0.08,officer,-0.12
next,0.08,guy,-0.11
two,0.08,room,-0.11
budget,0.08,see,-0.11
crisis,0.07,money,-0.11
meeting,0.07,woman,-0.11
earlier,0.07,family,-0.11
proposal,0.07,reason,-0.11
central,0.07,lie,-0.11
authority,0.07,student,-0.11
saying,0.07,someone,-0.11
among,0.07,look,-0.11
state,0.07,illegal,-0.10
peace,0.07,ever,-0.10
country,0.06,night,-0.10
governor,0.06,shot,-0.10
showed,0.06,morning,-0.10
congress,0.06,course,-0.10
sanction,0.06,made,-0.10
adviser,0.06,want,-0.10
force,0.06,friend,-0.10
government,0.06,stand,-0.10
ally,0.06,threat,-0.10
early,0.06,email,-0.09
senator,0.06,gun,-0.09
agreement,0.06,community,-0.09
company,0.05,great,-0.09
visit,0.05,everyone,-0.09
senior,0.05,take,-0.09
group,0.05,anything,-0.09
added,0.05,person,-0.09
meet,0.05,interview,-0.09
future,0.05,put,-0.09
international,0.05,live,-0.09
economy,0.05,love,-0.09
candidate,0.05,mean,-0.09
industry,0.05,stop,-0.08
power,0.05,care,-0.08
spending,0.05,department,-0.08
campaign,0.05,supporter,-0.08
possible,0.05,water,-0.08
term,0.04,member,-0.08
city,0.04,keep,-0.08
relation,0.04,recently,-0.08
official,0.04,bad,-0.08
due,0.04,history,-0.08
billion,0.04,victim,-0.08
plan,0.04,world,-0.08
chairman,0.04,sure,-0.08
concern,0.04,action,-0.08
three,0.04,trying,-0.08
