Words indicating Real,Weights,Words indicating Fake,Weights
said,0.66,via,-0.97
minister,0.42,watch,-0.47
representative,0.38,even,-0.44
spokesman,0.26,like,-0.40
parliament,0.24,america,-0.39
healthcare,0.24,know,-0.35
comment,0.24,american,-0.34
capital,0.23,story,-0.33
told,0.23,really,-0.31
ministry,0.22,go,-0.31
eu,0.22,read,-0.30
agency,0.21,terrorist,-0.28
statement,0.21,fact,-0.28
trade,0.20,thing,-0.28
including,0.20,daily,-0.28
market,0.19,went,-0.27
lawmaker,0.19,claim,-0.27
measure,0.18,actually,-0.26
region,0.18,got,-0.26
leader,0.18,county,-0.26
opposition,0.18,come,-0.25
saying,0.18,today,-0.24
senate,0.18,press,-0.24
south,0.17,get,-0.24
militant,0.17,anyone,-0.24
month,0.17,show,-0.23
whether,0.17,time,-0.23
ahead,0.17,host,-0.22
ruling,0.16,believe,-0.22
killed,0.16,let,-0.22
talk,0.16,racist,-0.21
bank,0.15,left,-0.21
coalition,0.15,man,-0.21
reform,0.15,life,-0.21
expected,0.14,every,-0.20
central,0.14,way,-0.20
rule,0.14,matter,-0.19
percent,0.14,word,-0.19
crisis,0.14,tell,-0.19
legislation,0.13,nothing,-0.19
showed,0.13,guy,-0.19
among,0.13,something,-0.19
election,0.13,another,-0.19
foreign,0.13,reason,-0.18
poll,0.13,fbi,-0.18
chief,0.12,make,-0.18
court,0.12,room,-0.18
prime,0.12,money,-0.18
peace,0.12,report,-0.18
economic,0.12,morning,-0.18
financial,0.12,lie,-0.18
authority,0.12,member,-0.17
north,0.12,never,-0.17
year,0.12,someone,-0.17
since,0.11,stand,-0.17
adviser,0.11,hate,-0.17
last,0.11,well,-0.17
earlier,0.11,threat,-0.16
early,0.11,one,-0.16
added,0.11,recently,-0.16
tax,0.11,officer,-0.16
candidate,0.11,shot,-0.16
budget,0.11,friend,-0.15
next,0.11,night,-0.15
union,0.10,water,-0.15
industry,0.10,course,-0.15
country,0.10,illegal,-0.15
two,0.10,back,-0.14
future,0.10,much,-0.14
possible,0.09,take,-0.14
week,0.09,action,-0.14
account,0.09,announced,-0.14
company,0.09,everyone,-0.13
ally,0.09,supreme,-0.13
meeting,0.09,see,-0.13
committee,0.09,victim,-0.13
say,0.09,student,-0.13
meet,0.08,ever,-0.13
congress,0.08,look,-0.13
governor,0.08,put,-0.13
race,0.08,person,-0.13
spending,0.08,bad,-0.13
group,0.08,community,-0.13
agreement,0.08,keep,-0.13
state,0.08,love,-0.12
wrote,0.08,anything,-0.12
held,0.07,took,-0.12
case,0.07,family,-0.12
sanction,0.07,live,-0.12
term,0.07,trying,-0.12
visit,0.07,released,-0.12
top,0.07,stop,-0.12
due,0.07,think,-0.12
international,0.07,calling,-0.11
billion,0.07,care,-0.11
decade,0.07,kind,-0.11
many,0.07,give,-0.11
nominee,0.07,sure,-0.11
part,0.07,mean,-0.11
campaign,0.07,history,-0.11
